Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Unnamed: 27
1.0729002053824388,0.5052366759256542,569.4225276131183,9.062365064919694,35.95752793636427,1488.6609991691157,228.7597682765738,151.88138366645515,-347.664400067661,-105.16370781668212,5.2100613022550375,-36670.08962584308,-21868.629042253386,564.1552250129706,336.4404468038983,4.578639201424802,18.16706188907253,-182.97429084777832,-0.0084364946912394,6.420744536617353,4.06792738452802,0.0,0.0,0.0,0.0,0.0,0.0,
1.067668439156023,0.5051036401508608,553.2823292330868,9.293500966539966,35.76585270694002,1480.3356389741289,247.1161872044464,142.9696544472832,-347.88067811428044,-108.7358349575626,5.153435704915538,-37113.10137401825,-21112.15147383315,570.9707903695117,324.802330366664,4.694181167944881,18.06546239537492,-175.09462356567383,-0.0057067936218332,6.4270945366173535,4.0742773845280205,0.0,0.0,0.0,0.0,0.0,0.0,
0.1183962853790294,0.505256576080755,223.01904451838345,1.9088880446162877,1.272365388674257,52.67868439054826,83.76540898354004,-4.132978582973749,-53.07752636210932,-32.92103957920054,12.1842373405589,-3428.205176849219,2036.971965655605,52.7416181053726,31.338030240855467,0.9644782375443128,0.6428709798052141,-191.13581901464568,0.0006432039531466538,6.433444536617354,4.080627384528021,0.6468740855822531,53.71941338963947,0.9767578957737588,53.00671030901872,85.00710587357565,31.607090591424303,
0.1188351765017703,0.5052380388298889,223.120660477638,1.917684141558868,1.2797859204358857,52.98396974766925,84.33857131885961,-4.341495062061756,-53.33552747606589,-32.30985130467335,12.033692443691637,-3478.6933191549856,2023.8975071512727,53.51835875623056,31.136884725404204,0.9688869747763816,0.6465965285631312,-189.89917070162323,0.00699320144076,6.439794536617353,4.08697738452802,0.6487027326435985,54.42034136540877,0.9811824332978324,53.15655813252249,85.31475387584894,31.215043182564084,
0.1189907127995342,0.5050701896217522,223.70782725121532,1.9359132617821344,1.289614942388888,53.37315894239453,84.70812941943555,-3.9837424753693433,-54.08440688848773,-31.75717822558721,11.86777624941688,-3549.9785377140006,1976.7096300930789,54.61505442636924,30.41091738604737,0.9777720782195676,0.6513460634914008,-189.2181428005606,0.0133431991031063,6.4461445366173535,4.0933273845280205,0.6518514841510655,55.398938347250365,0.9896599855211936,53.41457455651165,85.83207234656737,30.75581797119786,
0.1217809803635656,0.5052771633584694,226.10055808373727,1.9662265150349527,1.2939239542163006,53.57343983854286,85.74444582211571,-3.722887572732671,-54.49040664530538,-31.685252949475792,11.897287027310748,-3615.655454624535,1978.6878540274568,55.62546853268515,30.44135160042242,0.9934893560370698,0.6537902251879864,-188.4980881159636,0.0196931965717573,6.452494536617354,4.099677384528021,0.6546829187828596,56.32223043625433,1.003760327051563,53.64658970343079,86.7698360325925,30.77432205194699,
0.1209774924459168,0.5051755938729313,222.53004344945657,2.0170687035563413,1.2972945440977173,53.7021992337397,87.6341514921829,-3.531044093476824,-55.008831707384765,-31.14501695681843,12.02446780092544,-3730.074034305947,1987.6325926901957,57.38575437393765,30.578962964464555,1.0189738802015784,0.655361541742678,-187.70077222671355,0.0323931917422267,6.4651945366173535,4.1123773845280205,0.6573599952617883,57.8448403538977,1.022659498055196,53.86595823129093,87.59198081048828,30.07733335370049,
1.0704836894278742,0.5064247761376273,548.0963349673402,10.073958294967616,36.02946322283661,1495.14683204086,295.9899900158055,127.39870889148816,-355.96857258099527,-117.4524720962024,5.302988199130642,-38140.827130627,-18950.028302437284,586.7819558558,291.5388969605737,5.101702074348768,18.2462128469839,-179.11179161071777,-0.0084364292544054,6.1378468874930645,4.331050773733722,0.0,0.0,0.0,0.0,0.0,0.0,
1.0717934784920544,0.5065694034845057,548.2462004782283,10.104876008435244,35.75764030590378,1484.2905433916076,301.6612573540654,123.1057409961489,-357.28316765238816,-117.30191676862071,5.331840399309488,-38472.78832380384,-18910.574115537253,591.8890511354438,290.93190946980394,5.118821011877935,18.113726519775195,-177.3337059020996,-0.0022477206198274,6.144196887493065,4.337400773733723,0.0,0.0,0.0,0.0,0.0,0.0,
0.1185121418899641,0.5063789373055437,217.41561529396856,1.9904154456179592,1.2671439340771036,52.579044558024,87.90232614801906,-4.735123991245453,-53.26993483204746,-35.274125638077216,12.256980165269844,-3398.2431994526114,2337.026209041353,52.28066460696325,35.95424936986699,1.0079044581485626,0.6416549987511296,-190.53479794337045,0.0041022777261761,6.150546887493065,4.343750773733722,0.6471841005138504,53.521895918456245,1.0167809382457196,53.03211495949031,88.97140151099545,35.786667728667496,
0.1196189411447252,0.5065223515674736,220.45560892634967,2.0021052526956216,1.2762638463034626,52.97246640628223,88.39816772913245,-4.716073848680386,-53.79151427359706,-34.871638710376885,12.191089750537657,-3456.069505560302,2311.5753315025586,53.1703000855431,35.56269740773168,1.0141110606809771,0.6464561646501785,-189.2354159158058,0.0104522760721796,6.1568968874930645,4.350100773733722,0.649387909458909,54.23664986517153,1.0285824560049837,53.21270195802604,89.78791595482124,35.8919421105466,
