Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Chassis Angle,Chassis Heave
0.194591928,22.70250505,104.1452162,0.062020352,0.031171498,57.98859607,115.3769522,6.43471628,60.2550542,51.70285385,12.74893931,-3243.239512,4285.284555,49.89599248,65.92745469,1.408017358,0.707671098,-178.5709816,0.009771318,6.442514877,4.089697725,0.714736583,65.90698427,1.422224354,58.56756213,116.5411143,51.08515181,-1.8131,-0.1429
0.130317782,22.70250295,54.75451801,0.073540238,0.032515375,60.48861467,136.8074706,5.30656182,68.29289804,60.42964746,12.92642896,-3598.575035,5329.011403,55.36269285,81.98479081,1.66954747,0.738180402,-178.2091736,0.020303101,4.87637034,5.54637034,0.743476981,82.29210275,1.686112133,60.92263151,138.1648268,56.41831923,0,-0.1429
0.144720393,22.70287816,69.91139381,0.070949057,0.032478966,60.42188111,131.989266,6.25425786,70.9474694,52.84211809,13.29971636,-4051.10024,4561.905388,62.32461908,70.18315981,1.610747797,0.737366015,-173.7089618,0.001998216,4.372703189,6.014831666,0.742204182,74.9372385,1.653696396,60.81833429,135.5085981,61.10520589,0.583,-0.1429
