Cl,Frontal Area y,Cd,Frontal Area x,AOA,Unnamed: 5
-1.109890698035,0.9999369999999576,0.1413194298979714,0.1510901380324383,0.0,
-1.16165260509589,0.9998855418663736,0.1485860182771252,0.1486659341928882,0.5,
-1.2083720579492534,0.999757938577562,0.15421834471267,0.1475292513969145,1.0,
-1.2621771610746677,0.9995541998510076,0.1537984406968972,0.1537506002745022,1.5,
-1.3110853061041428,0.9992743412022032,0.15338079844074,0.1599650996711732,2.0,
-1.3583946883063114,0.9989183839434682,0.1529373874137252,0.1661712296616575,2.5,
-1.4094768974081318,0.998486355182326,0.1531298663089924,0.172364705069645,3.0,
-1.4552196000887223,0.9980360388795002,0.1533871493577561,0.1787677555740526,3.5,
-1.5033028361584173,0.9975122408833844,0.1539605408558207,0.1851859791132231,4.0,
-1.5516835038831387,0.9969124784681,0.1545983015596697,0.1915901000231075,4.5,
-1.6014993801011732,0.9962367973078764,0.1557064026533115,0.1979855358331481,5.0,
-1.642467130232102,0.99548524885845,0.1562517312542425,0.2043687564199948,5.5,
-1.6911765981713789,0.9946578903531454,0.1578831890264403,0.2107364135347942,6.0,
-1.7351522379496256,0.9937547847985158,0.1596414796209377,0.2172156762148527,6.5,
-1.77703773993776,0.9927760009695455,0.1607005751720171,0.2237902179956451,7.0,
-1.825437877787875,0.9917216134044132,0.1629878014925174,0.2303477172848982,7.5,
-1.865569783475728,0.9905917023988136,0.1647514954631469,0.2368915594228217,8.0,
-1.9048401255322485,0.9893863539998444,0.1665024306349603,0.243422321787402,8.5,
-1.9410623203823696,0.9881056599994534,0.1687178344022668,0.2499345465997305,9.0,
-1.979949823664669,0.9867497179274468,0.1711553887702082,0.256503607626505,9.5,
-2.0183660767000475,0.985318631044063,0.1739085745920828,0.2632067761480895,10.0,
-2.043595882545387,0.9838125083321092,0.1756265317719025,0.2698899004546239,10.5,
-2.0797933712891026,0.9822314644886608,0.1787186009063146,0.2765538824813418,11.0,
-2.1089332359145243,0.9805756199163276,0.1827495982023236,0.2832042038911384,11.5,
-2.12749270647662,0.9788451007140851,0.1868217488167683,0.289832958204339,12.0,
-2.158813925837267,0.9770415817034626,0.1915749856675936,0.2964396406156385,12.5,
-2.183851819962075,0.975166394965126,0.1970104279899854,0.3032394451383508,13.0,
-2.186334800985563,0.9732169455303026,0.2032231216311179,0.3100204906529177,13.5,
-2.1992330107108944,0.9711933818571143,0.2105400188063387,0.3167780624323898,14.0,
-2.1915122558013582,0.9690958580477698,0.2209998926314733,0.32352016052208,14.5,
-2.1725493647830185,0.9669245338368276,0.2349487324346596,0.3302376212989871,15.0,
-2.128452096662524,0.9646795745790332,0.2563411417786159,0.3369387896933619,15.5,
-1.9771138563344277,0.962361151236726,0.3154150055562397,0.3438160686527829,16.0,
-1.7768092176414485,0.9599694403668192,0.3973163625043023,0.350667164687438,16.5,
-1.6682302256698829,0.9575046241073556,0.4507727617673484,0.3574924753336536,17.0,
-1.609026493309407,0.9549668901636365,0.4829287248486972,0.3642983812490118,17.5,
-1.5881969455573215,0.9523564317939266,0.5087096182315188,0.3710765444321994,18.0,
-1.554603022599894,0.949673447794738,0.5297437021135698,0.3778555357683142,18.5,
-1.5312655267221842,0.9469181424856892,0.5496494213623637,0.3847769406704631,19.0,
-1.523420734957173,0.9440907256939478,0.566601467048682,0.3916690433188555,19.5,
-1.5189084800456012,0.9411914127382488,0.5771395138640669,0.3985326751592117,20.0,
-1.5092451244998466,0.9382204244124992,0.5934269989257652,0.4053732499786944,20.5,
-1.5016636729817725,0.9351779869689624,0.6098879243130875,0.4121829540557249,21.0,
-1.4926226385494368,0.932066079341864,0.6260031284991608,0.4189858068480915,21.5,
-1.489777145212844,0.9289316830369894,0.6397989607826142,0.4259213369995033,22.0,
-1.4845847998835182,0.925726544987946,0.6534162307799672,0.432824431592081,22.5,
-1.47863814674555,0.9224509092784056,0.6699597670506767,0.439694564928445,23.0,
-1.4751392981073777,0.91910502536071,0.6830397409298381,0.4465383123163566,23.5,
-1.4684958039973797,0.9156891480368734,0.7003128262653535,0.4533496802827512,24.0,
-1.4591713125505277,0.912203537439179,0.7195661969148373,0.4601265239157776,24.5,
-1.453395828567598,0.9086484590103692,0.7357127150841385,0.4669739588919571,25.0,
-1.4386845003036597,0.90502418348343,0.7574658427524269,0.4738574003867518,25.5,
-1.431246532230769,0.9013309868609748,0.7750711176590266,0.4807047558058936,26.0,
-1.4300149963713804,0.8975691503942255,0.7947701184257201,0.487517226944577,26.5,
-1.4210009816788118,0.8937389605615934,0.8159312845880866,0.4942996188671732,27.0,
-1.4090987090819345,0.8898407090468635,0.8379207511576945,0.501044367960034,27.5,
-1.39820762424751,0.8858746927169813,0.8636770836041855,0.5077509605844025,28.0,
-1.3871291359040103,0.8818412135994455,0.8880653849607217,0.5145393603923989,28.5,
-1.3751639601161565,0.8777405788593067,0.9140916131428688,0.5213331854276722,29.0,
-1.365247099691769,0.8735731007757772,0.939586177749648,0.5280873089224516,29.5,
-1.3575212038902045,0.8693390967184477,0.9636625956826904,0.5348012165240832,30.0,
-1.3528392023943083,0.86503888912312,0.9869494589209896,0.5414823601285337,30.5,
-1.3489701623561507,0.8606728054672512,1.0081426973526324,0.5481231157654104,31.0,
-1.3486887485585977,0.856241178245016,1.0250671031473657,0.5547221297048766,31.5,
-1.3482567273335335,0.8517443449419849,1.0426322729700512,0.5613072957723682,32.0,
-1.351410951187181,0.847182648009424,1.0589350293807762,0.5679733571906852,32.5,
-1.353800053571614,0.8425564348382163,1.0719365742824802,0.5745961652388539,33.0,
