Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Chassis Angle,Chassis Heave,Unnamed: 29
0.1005348069221216,22.701163340016794,181.50222121852855,0.0488456972169175,0.027393945810855,50.95817097583567,90.86268210667762,-1.3723539759291303,-44.09445239471721,-46.65677126742428,10.960677017548049,-2367.345960804191,3561.13719287423,36.420707089295256,54.78672604421892,1.10885415097825,0.6218744383797898,-193.1082261869136,0.0426972131183769,6.148216959444586,4.419454690649925,0.6267488873306122,37.32856618375944,1.119461897844945,51.357597271454765,91.73191123977034,54.75151881430951,-1.4387,1.0,
0.0,22.70250777456245,146.1215616237023,0.0518455672314159,0.0261001630797519,48.55435505596913,96.44874967585608,-4.469399553023184,-45.4555652174498,-50.28289992502647,11.521395541367813,-27294.997468762453,-5556.665394638957,419.9230379809608,85.48715991752245,1.1770243931478208,0.5925391552354159,-1.7976931348623157e+308,0.0031214179544137,5.78129309435485,4.676688135295004,0.598088888048655,419.923037980969,1.1875237665287883,49.00911605380524,97.30909839916268,85.48715991752357,-1.0643,-0.7143,
0.0,22.70517170884895,113.9835176133347,0.0588178520610889,0.0270130318489771,50.258467453404485,109.4321850752708,-5.73549811588543,-52.19152353117117,-53.063307803268366,12.148601257326282,-28433.77102756742,-1098.8798035155824,437.442631193345,16.905843131008968,1.3354694305926988,0.6133355265076325,-1.7976931348623157e+308,0.0110878405921378,5.134514227620611,5.278257812556507,0.6160874230312918,437.4426311933405,1.340154155180217,50.48396572619829,109.81606480786743,16.90584313100893,-0.3156,-0.7143,
0.0,22.7025087899276,105.07383036939429,0.059282188970649,0.0272775039248332,50.74457222864296,110.28315931308586,-5.71555210139268,-54.3674640841265,-51.04904568077188,12.630989031684145,-26994.877803806,1644.0833177389068,415.30581236624624,25.2935895036755,1.3458544161923098,0.6192677726208112,-1.7976931348623157e+308,0.0039416125554569,4.811057235708438,5.5791054874582535,0.6219093292837781,415.30581236625,1.3523314006857623,50.96102893578341,110.81390194446313,25.29358950367504,0.0588,-0.7143,
0.0850954550664424,22.702510654217438,164.08584960196458,0.0450291229128552,0.0260592092874928,48.47817357159721,83.76806942303611,-2.5846856550576285,-41.121715973043415,-47.08766931464838,10.632640683909926,-1938.462007023143,3526.9911692010373,29.82249241574066,54.26140260309288,1.0222741426791635,0.5916094764897892,-198.8451935562532,0.0006432039531466538,6.433444536617354,4.080627384528021,0.5998168798645226,31.17409592234601,1.037637161459463,49.15071169799564,85.0269591607445,54.17352542389298,-1.8131,-0.5,
0.0828730394990504,22.7051395765868,148.5662787151232,0.0480378515309702,0.0261061631436342,48.57114522327721,89.37557953577682,-3.159832463306194,-42.264517252486286,-48.94317171168525,10.802771634609828,-2009.2663546952288,3822.312095800569,30.911790072234293,58.80480147385492,1.0907061239700326,0.5927440779853609,-198.6685043567436,0.0045968620486022,6.110116959444586,4.381354690649925,0.599197186679567,31.99556085373805,1.1048427985185212,49.099931408001886,90.53397908385904,58.883993638297866,-1.4387,-0.5,
0.0796102191915065,22.70250304346629,137.45969808576046,0.0521490092017876,0.0263824228226373,49.07943366233727,97.01322166321226,-4.380375952571138,-45.19645737599229,-50.47395060738627,12.949540936139666,-2245.4795716241533,4084.746256254217,34.54583956344852,62.84225009621874,1.1839130401173352,0.598947034424938,-198.22071277344435,0.0085649669714361,5.78673631435485,4.682131355295004,0.6046926551865369,35.63696778949447,1.1970014605377546,49.55024626655288,98.08572427941682,62.82787544278382,-1.0643,-0.5,
0.067897740249139,22.70250735527498,109.67949389171554,0.0593521205555587,0.0270822653942559,50.381362398818816,110.41324091713858,-5.570208175099439,-51.58603826519357,-53.374147112808046,13.180080038692262,-2727.1639393664755,4477.891081053309,41.95636829794579,68.89063201620475,1.3474419534637407,0.6148353293106054,-197.85891225319847,0.0165308141611291,5.139957447620611,5.283701032556508,0.6185695581045476,42.35605616133094,1.3529747986725622,50.687355768390304,110.86661805103476,68.94597918099649,-0.3156,-0.5,
0.066647219474148,22.704823461534847,106.37079819767678,0.061605486391624,0.0274623086129114,51.093575093731125,114.61689512893363,-5.713470634823174,-53.73798585067402,-54.86399740668321,13.205763990783982,-2844.9510489519016,4634.516221143668,43.7684776761831,71.30024955605643,1.3987416927838106,0.6235268689023419,-197.10793017918104,0.00938483201588,4.816500455708438,5.584548707458254,0.6266060826715658,44.205792774255166,1.4054768453127882,51.34589467736167,115.16879279154958,71.41700418143063,0.0588,-0.5,
0.0904299731812627,22.70250911777252,158.21462184892152,0.0489146102521737,0.0264241514565822,49.157073396054514,90.99626487347447,-3.253502054651282,-42.47962558764,-48.41964680980081,10.806626528215787,-2123.704273740548,3813.646928046759,32.67237344216228,58.67149120071937,1.1104843852422632,0.5998945393724596,-196.40826301117028,0.0136675470221829,6.119187299444586,4.390425030649925,0.6060098542059885,33.62171221774041,1.120932462061904,49.65817977456042,91.85241015465108,58.5815312156458,-1.4387,-0.1429,
