Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Aero Efficiency,Maximum Memory Report,Physics Continuum Iteration,Solver Iteration Elapsed Time,Total Solver Elapsed Time,ChassisAngle,ChassisHeave
1.057418141526938,22.70413529627301,692.4560263817111,0.6191754689761158,2.059042050386588,1915.3639024659888,575.9699479409073,-173.3701964623927,625.7165940508258,201.23741005184985,2.4830125715469743e-05,-57372.29034728859,-19924.753920480543,882.6506207275169,306.5346756997008,14.057843619767024,46.74876929269249,-173.73870086669922,-0.0084363172202142,6.306823482628831,4.159178102217549,0.0,0.0,0.0,0.0,0.0,0.0,0.3007104536111172,76.04582595825195,1.0,25.347375575,25.347375575,-1.69,-1.3
1.046320489901973,22.703578305540287,665.7219121028174,0.6640591888250557,2.044043815389787,1901.36556121769,617.7065592898466,-148.45883353905674,620.1854695716016,210.25080710579604,1.6563209458643813e-05,-57928.15295655392,-17754.320491554543,891.2023531777527,273.1433921777622,15.076519793003214,46.40710882265736,-163.7000846862793,-0.0084322959188744,6.31282804262883,4.165182662217548,0.0,0.0,0.0,0.0,0.0,0.0,0.3248752222556557,66.81903839111328,1.0,53.219073344,53.219073344,-1.69,-1.0636
1.053905232271518,22.70252282232731,681.2032963353558,0.7012926885489696,2.0297293315705653,1887.9624718235716,652.3107574743545,-135.0411651307609,626.3806060868327,200.09815500224917,1.83764975415609e-05,-60073.31750652041,-17638.904235907612,924.2048847156988,271.3677574755018,15.92111326691426,46.07997647312792,-174.50418090820312,-0.0063702584402315,6.31883260262883,4.171187222217548,0.0,0.0,0.0,0.0,0.0,0.0,0.3455104469551726,70.55094909667969,1.0,27.957408957,27.957408957,-1.69,-0.8272
1.0489148680839264,22.70252298422479,671.4892232959537,0.7069832555098311,2.0138214977720894,1873.165723926013,657.6038656235048,-122.73915921955808,623.5717777503842,194.6196747835457,1.7965938131934178e-05,-60491.16933355804,-17709.904649456013,930.6333743624313,272.46007153009253,16.050303607674007,45.71882883929685,-174.1238784790039,-0.0003656772244031159,6.32483716262883,4.177191782217548,0.0,0.0,0.0,0.0,0.0,0.0,0.3510655022264752,76.4328727722168,1.0,23.555041546,23.555041546,-1.69,-0.5908
0.0866681240000635,22.70252251738198,168.14855299927876,0.1204088795017236,0.0639809727633398,59.51220865221668,111.9988967187458,4.364341099414808,68.04492214842146,49.05714682061458,1.3292568968677503e-05,-4138.137650212431,3169.713016707265,63.66365615711432,48.76481564165026,2.733585298180614,1.452529474843727,-184.3742383719837,0.0056385642419499,6.33084172262883,4.183196342217548,1.4586287400453315,48.99545883965305,2.7581930351186825,59.76210426506971,113.0071108723861,64.44546674269573,1.8819482465061248,61.440879821777344,1000.0,7.8485132,8813.344491275002,-1.69,-0.3544
0.0870608197046631,22.702523139292783,171.82869995447982,0.1202797788674934,0.0640490869024127,59.57556534533329,111.87881314468297,3.553241927939057,68.48450981992795,48.546237599493615,1.4432190406629525e-05,-4179.445691524804,3120.559868050118,64.29916448499698,48.0086133546172,2.73065446292829,1.4540758774525997,-184.31355417165375,0.0116430299343132,6.33684628262883,4.189200902217548,1.4615866311763088,48.54842753072993,2.7571339357240205,59.88329165191606,112.96371496192222,64.8487583542271,1.8779312037774345,61.305755615234375,1000.0,7.785173737999999,9081.036736403,-1.69,-0.118
0.0876668876720794,22.70252251867108,175.25814558203274,0.119769581637547,0.064617244417652,60.1040397828714,111.40425074447276,2.7014718603896264,68.87378213274121,47.8991936309916,1.2198722883358598e-05,-4222.451521930918,3046.5249764276964,64.96079264509105,46.86961502196457,2.719071624178226,1.4669744464862189,-183.92726450285045,0.0176479775514951,6.34285084262883,4.195205462217548,1.473098988442203,47.56778198019062,2.7478371325215454,60.35497102046455,112.58281473512896,65.44619014951981,1.853523509350216,61.21449279785156,1000.0,7.781315361,9257.955273242,-1.69,0.1184
0.0790549359520689,22.70252229974348,145.13682421953126,0.1294014343999738,0.0638532073483048,59.39336703869151,120.3633647833486,5.055168829890236,69.7777569689469,53.092875415714566,2.210447499447777e-05,-4162.931457492271,3691.07161925381,64.04509934603493,56.7857172192894,2.9377389500841984,1.449628863735034,-182.90374946906013,0.0133972465355492,5.790957662033259,4.687519743030076,1.459683527787586,57.02145542451525,2.9587444178332087,59.80532099978011,121.22398882792082,64.67334737425502,2.026545568715417,81.86003875732422,1000.0,8.46575416,8682.237045506014,-1.0636,-0.31
1.05761801449853,22.70250418688066,690.8581557697908,0.6680737968279877,2.0718288257890274,1927.1199262968585,621.4115326895808,-165.651313793864,632.2341701994785,213.3683603782149,1.7713936728609445e-05,-58176.88234675828,-17763.293422836807,895.0289591808965,273.2814372744125,15.16694816963265,47.03570259197544,-174.1696434020996,-0.0084331721554287,6.060086639514282,4.3886682892275255,0.0,0.0,0.0,0.0,0.0,0.0,0.3224560776991608,99.5452880859375,1.0,25.134184492,25.134184492,-1.4043,-1.3
1.049062378785493,22.70270805231719,667.568342451239,0.7440004405981135,2.053077552312049,1909.695481593476,692.0412130139647,-138.56128510007696,638.5086903286857,211.00793185585917,1.4666497967699597e-05,-60742.60579334714,-15715.87584541424,934.501627589956,241.78270531406525,16.89082479369433,46.61042027890643,-170.47098922729492,-0.0084360678766152,6.066091199514281,4.394672849227525,0.0,0.0,0.0,0.0,0.0,0.0,0.3623830184886421,99.98565673828124,1.0,26.196601034,26.196601034,-1.4043,-1.0636
