Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Aero Efficiency,Maximum Memory Report,Physics Continuum Iteration,Solver Iteration Elapsed Time,Total Solver Elapsed Time,ChassisHeave,ChassisAngle,FA-RA Difference
0.0866681240000635,22.70252251738198,168.14855299927876,0.1204088795017236,0.0639809727633398,59.51220865221668,111.9988967187458,4.364341099414808,68.04492214842146,49.05714682061458,1.3292568968677503e-05,-4138.137650212431,3169.713016707265,63.66365615711432,48.76481564165026,2.733585298180614,1.452529474843727,-184.3742383719837,0.0056385642419499,6.33084172262883,4.183196342217548,1.4586287400453315,48.99545883965305,2.7581930351186825,59.76210426506971,113.0071108723861,64.44546674269573,1.8819482465061248,61.440879821777344,1000.0,7.8485132,8813.344491275002,-1.69,-0.3544,-15.450007903042682
0.0870608197046631,22.702523139292783,171.82869995447982,0.1202797788674934,0.0640490869024127,59.57556534533329,111.87881314468297,3.553241927939057,68.48450981992795,48.546237599493615,1.4432190406629525e-05,-4179.445691524804,3120.559868050118,64.29916448499698,48.0086133546172,2.73065446292829,1.4540758774525997,-184.31355417165372,0.0116430299343132,6.33684628262883,4.189200902217548,1.4615866311763088,48.54842753072993,2.7571339357240205,59.88329165191606,112.96371496192222,64.8487583542271,1.8779312037774345,61.305755615234375,1000.0,7.785173737999999,9081.036736403,-1.69,-0.118,-16.30033082349717
0.0876668876720794,22.70252251867108,175.25814558203274,0.119769581637547,0.064617244417652,60.1040397828714,111.40425074447276,2.7014718603896264,68.87378213274121,47.8991936309916,1.2198722883358598e-05,-4222.451521930918,3046.5249764276964,64.96079264509105,46.86961502196457,2.719071624178226,1.4669744464862189,-183.92726450285045,0.0176479775514951,6.34285084262883,4.195205462217548,1.473098988442203,47.56778198019062,2.7478371325215454,60.35497102046455,112.58281473512896,65.44619014951981,1.853523509350216,61.21449279785156,1000.0,7.781315361,9257.955273242,-1.69,0.1184,-17.87840816932919
0.0790549359520689,22.70252229974348,145.13682421953126,0.1294014343999738,0.0638532073483048,59.39336703869151,120.3633647833486,5.055168829890236,69.7777569689469,53.092875415714566,2.210447499447777e-05,-4162.931457492271,3691.07161925381,64.04509934603493,56.7857172192894,2.9377389500841984,1.449628863735034,-182.90374946906013,0.0133972465355492,5.790957662033259,4.687519743030076,1.459683527787586,57.02145542451525,2.9587444178332087,59.80532099978011,121.22398882792082,64.67334737425502,2.026545568715417,81.86003875732422,1000.0,8.46575416,8682.237045506014,-1.0636,-0.31,-7.651891949739763
0.0819778006487417,22.702523150051825,152.16894671635237,0.1245379556241941,0.0634069195663905,58.97825031806182,115.8395766760557,5.091079745681355,68.677754479593,51.65472287104421,8.505097433276632e-06,-4099.074944082311,3459.589522947916,63.06269144742017,53.22445419919871,2.8273258206183933,1.4394970593294558,-184.42744988362932,0.0026554508088347,6.078100319514281,4.406681969227525,1.447920219058089,53.39779966371255,2.8449143034829585,59.32335920156011,116.56020193775969,63.61278676485831,1.964106701222032,97.3601303100586,1000.0,9.863316379,9922.001186600995,-1.4043,-0.5908,-10.214987101145766
0.0836321278821783,22.7025024662616,158.45979735766014,0.1246997550220253,0.0640822899247606,59.60640005561637,115.98997934385945,4.576288112115732,69.14014525050221,50.8141666214157,1.1726229763044917e-05,-4175.955641168275,3392.4779970540108,64.24547140258886,52.191969185446325,2.830996495929748,1.4548283450605697,-183.9555447053872,0.008659439722697,6.084104879514281,4.412686529227525,1.459666061773313,52.389142303420776,2.8498431343649906,59.80460823509989,116.76215310173872,64.82370990328265,1.945931632100476,97.37203216552734,1000.0,9.817641229,9825.45699539501,-1.4043,-0.3544,-12.434567599861872
0.0847387986070185,22.710248405316683,163.3767150449712,0.1242379757341523,0.0642234653401177,59.758095935346034,115.59987978563755,4.029376349774697,69.16343385288206,50.30447063396837,1.0696609210404592e-05,-4195.0013877260735,3347.949114816902,64.53848288809344,51.50690945872157,2.821475290296306,1.45853085132432,-183.50259042075612,0.0146643094602768,6.090109439514281,4.418691089227525,1.464588449717126,51.7771214066676,2.8458580470380643,60.0062844090875,116.59887621771104,65.27146666122502,1.9344639077976693,98.56321716308594,1000.0,9.374287227,9617.883561684,-1.4043,-0.118,-13.494345254557423
0.0855425803857947,22.70269860073809,167.64250082209765,0.1244646331069345,0.0644264179897149,59.92700842353741,115.77227710878611,3.42766403962307,69.7526621993109,49.95664581942098,1.0265067246454384e-05,-4251.856421848911,3302.337422166458,65.41317572075249,50.805191110253205,2.825683051878184,1.462653549545669,-183.30160071479293,0.020667910914252,6.096113999514281,4.424695649227525,1.4679740136583128,51.06699126754114,2.844487643283184,60.14499544978474,116.5427281208378,65.9250298454721,1.931888144500043,98.28845977783205,1000.0,9.412754155,9887.832232542003,-1.4043,0.1184,-14.858038577930955
0.0864100899101725,22.7083845968206,172.31213910668157,0.1237163479708812,0.0647469175194572,60.24020654409533,115.10506816648729,2.773808847798489,69.94421139454231,49.24382168614062,1.820854315599937e-05,-4286.240390116879,3224.363775699765,65.94215984795197,49.605596549227165,2.809398410636857,1.4702979044904565,-182.447386938122,0.0266737414318906,6.102118559514281,4.430700209227525,1.474864199501016,50.13979053435452,2.832336465012901,60.42729417697387,116.0448730380798,66.35177540613316,1.9107681525333309,98.28724670410156,1000.0,9.818368913,9895.463423335996,-1.4043,0.3548,-16.21198487177864
0.0870864126284058,22.70252229958908,176.07794525969075,0.1228237622858794,0.0650161834778378,60.47511486291301,114.24511152158908,2.176184804046622,69.94869853487698,48.47170926528854,1.1580507327535026e-05,-4314.422054572507,3140.0137668208267,66.3757239165001,48.30790410493581,2.788409202214605,1.4760313552397883,-181.95363672233,0.0326772812984791,6.108123119514281,4.436704769227525,1.478557054643133,48.80157850927088,2.8088035649209866,60.57859637838635,115.0806977188916,66.72127693405858,1.8891259947263213,96.01054000854492,1000.0,9.941804282,10000.199603734029,-1.4043,0.5912,-17.919698424787697
