Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Yaw Moment,Overturning Moment,Yaw Angle
0.109733923,1.029297449,59.77698955,1.927887169,1.02153241,43.079849,81.30245044,-0.538947584,-56.03565051,-32.8638485,2.679303369,3291.527182,-1993.132097,50.63887972,30.66357072,1.984369345,1.051460704,-195.6262417,0.03937,4.88,5.55,1.028336037,47.83653223,1.926597555,42.13239831,78.93545757,31.09892534,204.073412,928.2582854,15
0.1107064,1.029325306,66.97002625,2.027178899,1.05720766,44.58554575,85.49207594,-0.53801424,-56.77029404,-34.82450546,1.762023411,3323.87551,-2233.109426,51.13654631,34.35552963,2.086626541,1.088210598,-190.4590933,0.03937,4.88,5.55,1.068054962,48.9405228,2.04294444,43.75974047,83.70235771,34.76183492,187.9510946,816.6096597,12.5
0.120681571,1.029334897,73.46050167,2.12661604,1.098484817,46.326754,89.68646324,-0.599965617,-58.12251497,-36.65423919,1.111774263,3399.444686,-2430.175425,52.29914901,37.38731422,2.189000102,1.130708756,-189.0162742,0.03937,4.88,5.55,1.116093517,50.51057819,2.155247371,45.72794677,88.30356556,37.79298737,149.5951716,661.3811626,10
0.137501917,1.029311337,83.33490483,2.229556632,1.129299801,47.62523569,94.02566086,-0.691079432,-59.03440124,-39.36143267,0.258896857,3428.774723,-2682.893233,52.75038036,41.2752805,2.294907917,1.162401088,-187.3385968,0.03937,4.88,5.55,1.147303715,51.16205293,2.262267725,47.00667476,92.68834548,41.52629255,79.3481609,516.7580573,7.5
0.160327738,1.029323535,90.07115109,2.378772844,1.14708293,48.37576276,100.3196436,-0.814054247,-59.78782302,-41.03665646,-0.441512289,3557.512997,-2963.263837,54.73096918,45.58867441,2.448526872,1.180719457,-185.5789656,0.03937,4.88,5.55,1.170361718,53.43564822,2.417730356,47.95139139,99.05786631,45.62221809,-43.28398926,11.52699958,0
