Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Aero Efficiency,Maximum Memory Report,Physics Continuum Iteration,Solver Iteration Elapsed Time,Total Solver Elapsed Time
0.0688075584623122,22.7025235604606,118.063854606502,0.140590279942104,0.0635056267262385,59.0700702271808,130.770738555799,5.34970741952008,67.6211666353653,59.9812147430487,7.898361218519744E-6,-3739.19307713667,4794.35814541761,57.5260473405642,73.7593560833479,3.19175414275738,1.44173798697424,-169.660542285091,0.0146725322956993,4.88362966,5.55362966,1.45244013430205,75.2029261559901,3.2415967274223,59.5085525311405,132.812860635582,58.1332543317603,2.21382398993028,79.1472778320313,1000,5.956281329,5965.554798039
0.0681066878745222,22.7025231049263,116.452634183835,0.145471554191989,0.0650934495764941,60.5469842951266,135.311063776079,5.34807925103205,71.787847219485,60.494872659329,8.811903637518048E-6,-4019.47623367173,4810.40871544336,61.838095902642,74.0062879298979,3.30257132015315,1.47778554298971,-181.165635941377,0.0146725322956993,4.88362966,5.55362966,1.49010672301793,75.7502824006785,3.36129382276249,61.0518006382048,137.717008576476,62.5102575058479,2.23481095468813,79.0661506652832,1000,5.881212667,5899.15089732299
0.0668263002159031,22.7025231049263,113.773877535583,0.144058061689806,0.0639730700107144,59.5048578689625,133.996296946425,5.3983346378517,70.2156951548079,60.4030069583707,1.015549725134147E-5,-4049.34194767365,4694.78572531154,62.2975684257484,72.2274726971006,3.27048147396372,1.45235010001131,-178.922762981005,0.0146725322956993,4.88362966,5.55362966,1.46274476762199,73.9962688664926,3.32634149061718,59.9307422468159,136.284961608959,62.827218256052,2.25185475178351,79.9025230407715,1000,6.031285665,6008.56454353298
0.0702691713132406,22.7033577369406,121.496001034247,0.14284224977419,0.0634513066061583,59.0217102313843,132.870295757676,5.32301910432466,70.1547799554706,59.6750011495391,9.233031379569473E-6,-4033.31221577931,4637.33551726176,62.0509571658355,71.3436233424886,3.24299869657284,1.44055771275591,-179.375846530594,0.0146725322956993,4.88362966,5.55362966,1.44924853767976,72.6916218362765,3.28762050790623,59.3777857608719,134.698515200186,62.5389724333635,2.25121053315435,78.8906211853027,1000,5.89192766,5866.10390291301
0.0666437923234132,22.7025231049263,113.196911393417,0.141698970025829,0.0641064743495038,59.6289445544606,131.801976521576,5.41112890839637,68.1707346101663,60.4778352875422,8.763901252315852E-6,-3786.3985316206,4814.43952481157,58.2522851018555,74.0683003817164,3.21692414095564,1.45537871509497,-172.291572043123,0.0146725322956993,4.88362966,5.55362966,1.46686656793937,76.0597709334307,3.28093531160106,60.0996182926454,134.424605604779,58.8946753541835,2.21036910021438,78.8126411437988,1000,5.914216023,5957.23984799501
0.0667682780996919,22.7025231049263,113.866550301769,0.144597136749366,0.0640168943497743,59.5456212881094,134.497720198341,5.35335746093247,70.3680778888567,60.5196536388282,8.97599311156396E-6,-4063.23817387469,4713.62583232554,62.511356521149,72.5173204973159,3.28271983795865,1.45334502308137,-179.000468433411,0.0146725322956993,4.88362966,5.55362966,1.46338313536271,73.8450211818658,3.32855377505097,59.9568970848811,136.375602061834,63.0694862039794,2.25873401417005,80.1467399597168,1000,6.010963773,6019.68326863101
0.0656367031336967,22.7025235731199,111.177341799557,0.142651695729715,0.0637798960667353,59.3251831996761,132.68817456295,5.35520687674596,68.1505203042547,60.9370242682252,7.661296288629107E-6,-3743.26880199624,4915.45644496074,57.5887507999421,75.6224068455499,3.23855348504938,1.4479645939462,-174.976546338745,0.0146725322956993,4.88362966,5.55362966,1.46973198296388,77.2813619916013,3.32341898077602,60.2170243031476,136.165235467867,59.4214219243701,2.23662477562605,79.0965042114258,1000,5.88318763,5950.87126041999
0.0698945501840991,22.7025231049263,120.47845126591,0.14054346514768,0.0632361353335467,58.8193945448446,130.72717811766,5.33662236416776,67.9797617952012,59.7328966323585,9.042160754594316E-6,-3780.51330836811,4750.2155486458,58.1617432056632,73.0802392099354,3.1906912647616,1.43561982347609,-172.073319884088,0.0146725322956993,4.88362966,5.55362966,1.44494613597595,74.5730679342058,3.23924180774025,59.2015068879643,132.716363204219,58.6665864640241,2.22251825489281,79.3783416748047,1000,5.982646964,5968.433623148
0.0691067556624121,22.7019235647479,118.279784318976,0.144871946993692,0.0653110404915451,60.7477787983719,134.74978998691,5.33723506201779,71.9743146252142,60.2917177780501,9.148617189539132E-6,-3987.68550722208,4805.53468546156,61.3490078034167,73.9313028532547,3.28887186732701,1.48268624917321,-180.934943100026,0.0146725322956993,4.88362966,5.55362966,1.49463261746749,76.0942474715368,3.35486817317904,61.2372386142899,137.453753142733,61.9015987877714,2.21818464234155,78.7425575256348,1000,5.968230959,5958.38775423901
0.0675597971302704,22.7025231049039,115.463159758481,0.144339294803682,0.0640407024499944,59.5677665067067,134.257887276019,5.37753465929754,70.4680982294707,60.2938037127908,9.536687618448558E-6,-4081.31008835791,4679.89299176341,62.7893859747371,71.9983537194371,3.27686617522613,1.45388552702527,-178.789491712439,0.0146725322956993,4.88362966,5.55362966,1.46388691502847,73.4235025255141,3.32618598359537,59.9775376573532,136.278590264311,63.3935355064795,2.2538680757974,79.5087852478027,1000,5.970044345,5926.22339173399
