Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Chassis Angle,Chassis Heave,Unnamed: 29
0.179152688,22.70250623,93.79047227,0.053002659,0.026058163,48.47621658,98.60127498,-6.476422678,-44.20902354,-51.00763302,9.847280425,-1987.244717,4446.715384,30.57299565,68.4110059,1.203293189,0.591585606,-187.9543768,0.009771318,6.442514877,4.089697725,0.607224966,33.70301422,1.237168076,49.75775049,101.3770801,68.06771953,-1.8131,-0.1429,
0.151572172,22.70250681,71.67414148,0.061090793,0.027588517,51.32314721,113.6476884,-5.630949012,-52.91319992,-55.18658668,12.53030265,-2564.848371,4851.311568,39.45920571,74.63556258,1.386914141,0.6263285,-187.5612847,0.01927618,5.66649446,4.811475098,0.632180668,40.64215396,1.400654546,51.80269056,114.7736165,74.58302487,-0.9146,-0.1429,
0.138790201,22.70250661,60.75824856,0.064087144,0.027774824,51.6697357,119.221827,-5.382853672,-55.1518259,-57.69560101,12.53662684,-2628.417718,5151.66717,40.43719566,79.256418,1.454938807,0.63055813,-188.2404071,0.024056364,5.278356263,5.172482827,0.635521291,41.4741328,1.468574116,52.07643129,120.3391432,79.34133165,-0.4653,-0.1429,
0.11915045,22.70250669,49.08375564,0.066858032,0.027935016,51.96774126,124.3765345,-5.149402481,-56.79731397,-59.82993383,12.65372557,-2687.398562,5429.229307,41.34459326,83.52660473,1.517844914,0.634194881,-187.7819628,0.018455174,4.825570796,5.593619047,0.640304725,42.24009378,1.530345717,52.46839927,125.4008859,83.65944703,0.0588,-0.1429,
0.139454804,22.7025,67.0827577,0.065171938,0.027722862,51.57305747,121.2398486,-6.059662844,-60.03565017,-52.86974238,13.09350021,-3174.16035,4737.706429,48.83323616,72.88779122,1.479565926,0.629378272,-183.1220757,0.001998216,4.372703189,6.014831666,0.635191307,46.784443,1.512438655,52.04939417,123.9335348,77.64176144,0.583,-0.1429,
