Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Rideheight,Chassis Angle,Chassis Heave
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.450002943,7.690949035,1.4673,108.0659,4.5285,60.118,185.539,78.234,1.6027,1.2,0.5
0.129691899488515,22.7025016186157,56.3121525730239,0.197264659649676,0.0636115397746518,59.1685229249767,183.486495974125,44.1306193321867,76.3108707461755,64.711683164117,13.7362385032949,-5510.84659236387,6464.70624135809,84.7822552671364,99.4570190978167,4.47840125499245,1.44414108469667,-178.460629252128,0.0021384799722213,4.650002511,6.455501909426707,1.45111962924627,103.505152388896,4.64546557518594,59.4544438627171,190.331359792532,87.6095374925842,1.58238,0.8423,-0.3
0.132836875591419,22.7025232112946,58.4318713675748,0.190956917923327,0.0630015004208332,58.601147755535,177.619492986965,40.6103560941983,75.5584425384709,63.7870404153004,13.7093286291331,-5380.06317155366,6212.4599233002,82.7702026392871,95.5763065123107,4.3352038615116,1.43029302565035,-179.550314411817,0.0080527540925177,4.650002511,6.021356165956716,1.4402249733519,100.109561432322,4.5397780901156,59.00807383594,186.001191270046,86.6559926020923,1.58238,0.4857,-0.3
0.141866729929458,22.7093894054855,62.6605778021331,0.18291140523951,0.062383378499791,58.0437496565261,170.187381164056,38.1871963096133,74.7088192849723,61.0993928391564,13.8510254152029,-5265.27771747506,5842.02411185182,81.0042725765394,89.8772940284896,4.1538063282886,1.41668843478155,-179.47595945355,0.002973185926732,4.450002403,5.821356057956716,1.42867083333779,94.5467420394729,4.36387524563989,58.5346856485252,178.794204901723,84.979903395932,1.5773,0.4857,-0.5
0.128611793717753,22.7025016669059,56.9249419150874,0.199629976494162,0.0635857239358949,59.1445102214212,185.686604703353,46.1075653975216,75.535559948226,65.3200966337111,13.6397680905427,-5562.68227436599,6556.52556674091,85.5797272979383,100.869624103706,4.53209987412309,1.44355500364607,-178.556930030685,0.0131323016017639,4.850002619,6.221356273956716,1.45078174846114,103.348509798769,4.64609033848075,59.4406002779157,190.356956832172,87.7919151207928,1.58746,0.4857,-0.1
0.150607339993151,22.7025016563747,66.4369477333239,0.166827332858513,0.0617951295593451,57.4789818472685,155.175097218525,28.1960908645363,73.4245755161476,59.6199239547891,13.7888533486043,-4877.87451125269,5249.26872501235,75.0442232500414,80.7579803848053,3.78739780054897,1.40290403117692,-179.748539976248,0.0089050765397723,4.450002403,5.386578638130106,1.40954161519395,83.3119673602943,3.90139970061243,57.7509331445393,159.84591788671,77.1818100994112,1.5773,0.1286,-0.5
0.154447375608838,22.702528800021,70.6113530424045,0.198164259247029,0.0639668561496648,59.4990920595897,184.323479588752,48.2773756814092,74.906745521413,62.7849124277144,13.5962906715718,-5725.47114791883,6304.70761735954,88.0841715064436,96.9955018055314,4.49882980269049,1.45220939398456,-177.186762886575,0.0292237824698441,5.250002835,6.186579070130106,1.45551406767665,97.9935173012537,4.5420699604627,59.6344892585384,186.095090582742,88.865596375286,1.59762,0.1286,0.3
0.133682505429723,22.7025217759438,59.1832512596739,0.19380871099704,0.0628018461944597,58.415438419383,180.27210199095,44.3771048755119,74.9850889523703,63.1271475735784,13.6311209103891,-5514.050668371,6251.68776298536,84.8315487441692,96.1798117382363,4.3999464817779,1.42576028079919,-179.219497998231,0.0190644343037019,4.850002619,5.786578854130106,1.43396057004296,98.2336384529637,4.49580415221413,58.7514160011628,184.199527884211,86.7224616235852,1.58746,0.1286,-0.1
0.148154979670627,22.7025017981139,65.6038273878658,0.171283842723853,0.0619973745582469,57.667100825309,159.320337328525,32.7877673681267,73.2840702090575,58.9157765293719,13.8306143377303,-5066.4304037691,5331.35637017975,77.9450831349092,82.0208672335347,3.88857174742614,1.40749550738694,-180.214829555051,0.0175985160348312,4.650002511,5.151673490879625,1.41427805730178,83.43964634631,3.95514060101967,57.9449915807245,162.047758319822,79.2656913054555,1.58238,-0.2286,-0.3
0.159722723844373,22.702513345046,74.6673805169558,0.189991035162692,0.0635838731582664,59.1428236113656,176.72100993909,45.3134208414416,74.1691143608867,60.1502180080407,13.565731395395,-5625.70628282822,5908.1116799181,86.5493274281265,90.8940258448939,4.31327401122011,1.44351372890525,-178.229969029566,0.0328379546782136,5.250002835,5.751673814879624,1.44842773673218,91.877452985362,4.36335846991063,59.3441575455798,178.773041898808,87.6269469978297,1.59762,-0.2286,0.3
0.142979230977236,22.7011727877696,63.6739537593676,0.183170563678584,0.0621058195901641,57.7645899883585,170.366844502695,39.8709832488792,73.8718355447203,60.4515251721177,13.675903067331,-5313.70722780737,5805.33690046152,81.7493419662672,89.3128753917158,4.15818661570068,1.40987494164236,-179.860713773748,0.0226783095039067,4.850002619,5.351673598879624,1.41811019529944,90.1230741937804,4.2053860611816,58.1020000925462,172.300673195832,82.8812793267103,1.58746,-0.2286,-0.1
